!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R02570			uncertainty is too high
R02571			uncertainty is too high
R02572			uncertainty is too high
R02573			uncertainty is too high
R02574			uncertainty is too high
R02575	-6.5	5.8	
R02576	-19.5	34.6	
R02577	26.2	3.4	
R02580	20.6	37.7	
R02581	7.3	36.7	
R02583	-31.1	38.2	
R02584			uncertainty is too high
R02585			uncertainty is too high
R02586			uncertainty is too high
R02587	-14.2	4.8	
R02588			uncertainty is too high
R02589	-442.3	14.3	
R02590			uncertainty is too high
R02591			uncertainty is too high
R02592			uncertainty is too high
R02593	11.6	3.4	
R02594	-66.8	9.3	
R02595	42.0	23.7	
R02596			uncertainty is too high
R02597			uncertainty is too high
R02598			uncertainty is too high
R02599			uncertainty is too high
R02600			uncertainty is too high
R02601	-0.6	5.4	
R02602	-16.0	9.4	
R02603	52.4	9.9	
R02604	40.0	8.4	
R02605			uncertainty is too high
R02606	-50.0	15.6	
R02609			uncertainty is too high
R02610			uncertainty is too high
R02611	23.1	10.2	
R02612			uncertainty is too high
R02613	-94.4	13.4	
R02615	-17.5	11.8	
R02616			uncertainty is too high
R02617			uncertainty is too high
R02618			uncertainty is too high
R02619			uncertainty is too high
R02620			uncertainty is too high
R02621			uncertainty is too high
R02622			uncertainty is too high
R02623			uncertainty is too high
R02624			uncertainty is too high
R02625			uncertainty is too high
R02626			uncertainty is too high
R02627			uncertainty is too high
R02628			uncertainty is too high
R02630			uncertainty is too high
R02631			uncertainty is too high
R02632			uncertainty is too high
R02633			uncertainty is too high
R02634	3.5	3.8	
R02636	-9.1	7.1	
R02637	20.6	5.9	
R02639	21.6	5.9	
R02640	20.6	5.3	
R02642			uncertainty is too high
R02643			uncertainty is too high
R02644			uncertainty is too high
R02646	-24.3	11.6	
R02648	-32.0	33.5	
R02649	29.8	6.0	
R02650			uncertainty is too high
R02651			uncertainty is too high
R02652			uncertainty is too high
R02654			uncertainty is too high
R02655	-36.9	16.6	
R02656	-255.8	12.0	
R02657	170.3	18.6	
R02658	-7.6	6.9	
R02659			uncertainty is too high
R02661			uncertainty is too high
R02662			uncertainty is too high
R02663			uncertainty is too high
R02664	-22.1	4.6	
R02665	-244.9	12.9	
R02666			uncertainty is too high
R02667			uncertainty is too high
R02668	-54.0	17.5	
R02669	-11.1	17.8	
R02670			uncertainty is too high
R02671			uncertainty is too high
R02672	-13.3	12.2	
R02673	-126.8	14.4	
R02675	130.3	25.5	
R02676			uncertainty is too high
R02677	-29.8	7.7	
R02678	-36.9	17.0	
R02679	23.1	17.1	
R02680	24.1	17.1	
R02681	-170.4	18.9	
R02682			uncertainty is too high
R02683	20.6	36.9	
R02684	7.3	36.7	
R02685			uncertainty is too high
R02687			uncertainty is too high
R02688			uncertainty is too high
R02689			uncertainty is too high
R02691			uncertainty is too high
R02692			uncertainty is too high
R02693			uncertainty is too high
R02694			uncertainty is too high
R02695	-36.9	10.6	
R02697	-36.0	10.6	
R02698	-442.4	14.3	
R02699	-9.6	10.7	
R02700	-7.4	20.6	
R02701	-21.1	21.4	
R02702	-326.9	19.0	
R02703	11.3	2.4	
R02704			uncertainty is too high
R02705	-13.0	6.0	
R02706	13.4	6.0	
R02707	23.2	3.4	
R02708			uncertainty is too high
R02709			uncertainty is too high
R02711	-22.2	8.5	
R02712	-12.3	8.4	
R02713	-272.8	7.1	
R02714	-21.1	4.9	
R02715			uncertainty is too high
R02716			uncertainty is too high
R02717			uncertainty is too high
R02718			uncertainty is too high
R02719	-12.0	12.4	
R02720	-39.6	13.7	
R02721			uncertainty is too high
R02722	-30.5	6.2	
R02723			uncertainty is too high
R02724			uncertainty is too high
R02725			uncertainty is too high
R02726			uncertainty is too high
R02727	4.9	2.4	
R02728	-7.4	1.5	
R02729	-4.7	4.1	
R02730	-9.4	10.2	
R02731	-31.9	5.9	
R02732	5.5	5.9	
R02733	-7.4	10.3	
R02734	8.0	7.3	
R02735	-1.7	5.8	
R02736	-2.3	2.6	
R02737	-15.2	3.7	
R02738			uncertainty is too high
R02739			uncertainty is too high
R02740	2.5	0.8	
R02741	-22.6	18.8	
R02742	17.7	20.9	
R02743	-14.5	11.2	
R02744			uncertainty is too high
R02745			uncertainty is too high
R02746			uncertainty is too high
R02747			uncertainty is too high
R02748	9.8	3.4	
R02749	-29.1	6.7	
R02750	33.2	4.8	
R02751			uncertainty is too high
R02752	-42.0	6.5	
R02754	21.8	5.5	
R02755	32.3	4.7	
R02756			uncertainty is too high
R02757			uncertainty is too high
R02758			uncertainty is too high
R02760			uncertainty is too high
R02762	-38.2	8.5	
R02763	14.7	11.4	
R02764	-29.3	8.9	
R02765	0.0	5.8	
R02766			uncertainty is too high
R02767			uncertainty is too high
R02768			uncertainty is too high
R02769			uncertainty is too high
R02770			uncertainty is too high
R02772	9.5	23.8	
R02773	-1.5	5.8	
R02776	7.3	22.2	
R02777	7.3	22.2	
R02778	-7.2	4.4	
R02780			uncertainty is too high
R02781	11.4	31.3	
R02782			uncertainty is too high
R02783	-27.0	30.3	
R02786	-23.3	34.3	
R02788	-24.3	34.5	
R02789			uncertainty is too high
R02790			uncertainty is too high
R02791			uncertainty is too high
R02792			uncertainty is too high
R02793			uncertainty is too high
R02794			uncertainty is too high
R02797			uncertainty is too high
R02798			uncertainty is too high
R02799	7.3	36.7	
R02800	21.6	37.7	
R02801	-31.1	38.2	
R02802			uncertainty is too high
R02804			uncertainty is too high
R02805	-40.4	30.9	
R02806			uncertainty is too high
R02807			uncertainty is too high
R02808			uncertainty is too high
R02809			uncertainty is too high
R02810			uncertainty is too high
R02811			uncertainty is too high
R02813	0.6	22.2	
R02814			uncertainty is too high
R02815			uncertainty is too high
R02816			uncertainty is too high
R02817			uncertainty is too high
R02818	173.5	6.9	
R02819			uncertainty is too high
R02820			uncertainty is too high
R02821			uncertainty is too high
R02822			uncertainty is too high
R02823			uncertainty is too high
R02824			uncertainty is too high
R02825	38.2	18.2	
R02826			uncertainty is too high
R02827			uncertainty is too high
R02828			uncertainty is too high
R02829			uncertainty is too high
R02830	-442.4	21.2	
R02831	-11.1	17.8	
R02832			uncertainty is too high
R02833	-108.3	11.8	
R02834			uncertainty is too high
R02836			uncertainty is too high
R02837			uncertainty is too high
R02838			uncertainty is too high
R02839			uncertainty is too high
R02840			uncertainty is too high
R02841			uncertainty is too high
R02843			uncertainty is too high
R02846			uncertainty is too high
R02847			uncertainty is too high
R02851			uncertainty is too high
R02852	-0.2	5.5	
R02853	-15.2	7.2	
R02854			uncertainty is too high
R02855	23.0	3.5	
R02856	24.0	3.6	
R02857			uncertainty is too high
R02858			uncertainty is too high
R02859			uncertainty is too high
R02860			uncertainty is too high
R02861			uncertainty is too high
R02862			uncertainty is too high
R02863			uncertainty is too high
R02864			uncertainty is too high
R02865	-18.2	4.0	
R02866	-8.2	4.0	
R02867	-21.9	4.9	
R02868	-21.3	4.8	
R02869			uncertainty is too high
R02872	-14.1	57.9	
R02873			uncertainty is too high
R02874	-419.1	56.0	
R02875			uncertainty is too high
R02876			uncertainty is too high
R02877	-110.9	19.1	
R02878	25.1	5.8	
R02879			uncertainty is too high
R02880			uncertainty is too high
R02882			uncertainty is too high
R02884			uncertainty is too high
R02885			uncertainty is too high
R02886	-531.3	4.6	
R02887	-272.1	1.6	
R02888	-255.5	1.9	
R02889	247.2	3.0	
R02890	-245.2	6.7	
R02892			uncertainty is too high
R02893			uncertainty is too high
R02894	-104.1	25.8	
R02895	46.2	24.6	
R02896	12.4	5.3	
R02897	-60.2	43.0	
R02898	101.6	21.7	
R02899			uncertainty is too high
R02901	-45.6	33.4	
R02902	-0.4	42.1	
R02903			uncertainty is too high
R02904			uncertainty is too high
R02905			uncertainty is too high
R02906	-37.4	46.3	
R02907	-55.9	42.6	
R02908	-94.4	22.2	
R02909	-326.9	19.2	
R02910			uncertainty is too high
R02911	-21.2	21.0	
R02912	-26.5	20.9	
R02914	9.3	2.6	
R02915	88.0	56.9	
R02917			uncertainty is too high
R02918			uncertainty is too high
R02919	-87.9	20.8	
R02920			uncertainty is too high
R02921	-4.8	4.9	
R02922	45.8	14.2	
R02923	-101.7	21.2	
R02924			uncertainty is too high
R02925	-1.9	7.8	
R02926	1.6	5.8	
R02927	-10.1	4.1	
R02928	11.6	5.8	
R02929	-21.6	8.0	
R02930	-4.8	8.0	
R02931			uncertainty is too high
R02932			uncertainty is too high
R02933	-21.1	5.5	
R02934			uncertainty is too high
R02935	-7.4	10.7	
R02936	-6.4	10.8	
R02937	-7.3	11.1	
R02938	-12.3	6.2	
R02940			uncertainty is too high
R02941	-36.8	10.4	
R02942	-68.7	10.2	
R02943	-74.1	18.4	
R02944			uncertainty is too high
R02945			uncertainty is too high
R02946	15.8	4.1	
R02947	-15.9	8.3	
R02948	-15.9	8.3	
R02949	2.4	2.3	
R02950	-404.3	19.6	
R02951	-60.6	13.7	
R02952	-15.7	13.4	
R02953			uncertainty is too high
R02954			uncertainty is too high
R02955	-8.6	5.3	
R02956	-3.2	5.5	
R02957	-59.2	6.8	
R02959			uncertainty is too high
R02960			uncertainty is too high
R02961			uncertainty is too high
R02962	-53.9	26.7	
R02963	2.1	31.0	
R02964	-48.6	5.9	
R02965	-83.2	8.2	
R02968	-356.3	28.2	
R02969	20.6	5.8	
R02970	-8.2	5.9	
R02971	-15.5	22.9	
R02972	-20.4	23.4	
R02973	-5.3	22.6	
R02974			uncertainty is too high
R02975	14.4	1.9	
R02976	-10.1	21.8	
R02978	21.0	21.5	
R02979	46.2	22.0	
R02980			uncertainty is too high
R02982			uncertainty is too high
R02983	-15.2	4.6	
R02984	-0.2	3.8	
R02985			uncertainty is too high
R02986			uncertainty is too high
R02987			uncertainty is too high
R02988	63.2	6.9	
R02989	64.2	6.9	
R02990			uncertainty is too high
R02991	9.3	10.9	
R02992	-18.1	16.0	
R02993	23.1	14.2	
R02994			uncertainty is too high
R02995			uncertainty is too high
R02997	-44.5	41.2	
R02998	-22.5	42.3	
R02999			uncertainty is too high
R03001	-7.2	15.5	
R03003			uncertainty is too high
R03004	-13.0	19.7	
R03005	-21.5	9.0	
R03006			uncertainty is too high
R03008			uncertainty is too high
R03009			uncertainty is too high
R03012	23.1	16.6	
R03013	-16.8	4.2	
R03014	-2.3	5.4	
R03015			uncertainty is too high
R03016			uncertainty is too high
R03017			uncertainty is too high
R03018	-8.1	8.1	
R03019			uncertainty is too high
R03020			uncertainty is too high
R03021	20.6	21.8	
R03022	20.6	21.8	
R03023			uncertainty is too high
R03024			uncertainty is too high
R03025	-27.8	8.2	
R03026	3.8	3.4	
R03027	4.2	5.8	
R03028	-18.6	31.8	
R03030	0.7	30.8	
R03031	-7.7	31.4	
R03032	-42.0	4.2	
R03033	-41.9	4.9	
R03034	-18.8	4.7	
R03035	-17.3	26.5	
R03036	-17.2	10.1	
R03037	-43.8	5.5	
R03038			uncertainty is too high
R03039			uncertainty is too high
R03040	32.3	5.7	
R03043			uncertainty is too high
R03044			uncertainty is too high
R03045	-0.0	30.8	
R03046	11.2	31.3	
R03048	32.2	43.4	
R03049	-16.5	47.9	
R03050			uncertainty is too high
R03051	-21.6	6.5	
R03052	0.0	6.9	
R03053	-7.4	5.3	
R03054	-24.1	12.2	
R03055	-3.2	12.0	
R03056	-16.7	48.2	
R03057	25.6	29.7	
R03058			uncertainty is too high
R03059	-1.3	31.0	
R03060			uncertainty is too high
R03062			uncertainty is too high
R03063			uncertainty is too high
R03064			uncertainty is too high
R03065			uncertainty is too high
R03066			uncertainty is too high
R03067			uncertainty is too high
R03069	-4.1	4.1	
R03070	-3.2	5.8	
R03071			uncertainty is too high
R03072			uncertainty is too high
R03073			uncertainty is too high
R03075			uncertainty is too high
R03076			uncertainty is too high
R03077	-3.5	5.2	
R03078	170.2	3.5	
R03079			uncertainty is too high
R03080	23.1	3.2	
R03081	15.3	5.1	
R03082	-5.5	4.6	
R03083	-135.4	15.6	
R03084	-5.3	4.1	
R03086			uncertainty is too high
R03087			uncertainty is too high
R03088	-443.1	7.7	
R03089	-410.2	6.8	
R03090	-444.0	7.7	
R03091	-62.3	9.0	
R03092	-453.5	20.8	
R03093			uncertainty is too high
R03094	0.6	17.6	
R03095	-31.1	17.4	
R03096	-12.3	17.3	
R03097	-326.9	15.9	
R03098			uncertainty is too high
R03102	-40.0	7.3	
R03103	-39.1	7.3	
R03104	20.6	13.3	
R03105			uncertainty is too high
R03106	-79.2	10.7	
R03107			uncertainty is too high
R03109			uncertainty is too high
R03110			uncertainty is too high
R03111			uncertainty is too high
R03112			uncertainty is too high
R03114	7.3	24.8	
R03115	-272.1	1.6	
R03116	-255.5	1.9	
R03118	247.2	3.0	
R03119	23.1	3.6	
R03120			uncertainty is too high
R03121			uncertainty is too high
R03122			uncertainty is too high
R03123	6.7	46.2	
R03124	-443.3	50.8	
R03125	-886.7	55.7	
R03126			uncertainty is too high
R03127	2.5	8.8	
R03128	12.5	7.1	
R03129			uncertainty is too high
R03130			uncertainty is too high
R03131	-10.7	7.2	
R03132			uncertainty is too high
R03133	-18.2	17.8	
R03134			uncertainty is too high
R03135			uncertainty is too high
R03136			uncertainty is too high
R03137			uncertainty is too high
R03138			uncertainty is too high
R03139	-94.0	10.2	
R03140	-520.5	8.3	
R03141	-1473.7	16.7	
R03142			uncertainty is too high
R03143			uncertainty is too high
R03145	-150.0	8.6	
R03146			uncertainty is too high
R03147			uncertainty is too high
R03149			uncertainty is too high
R03150			uncertainty is too high
R03151			uncertainty is too high
R03153	-6.9	3.9	
R03154	-1.5	4.5	
R03155	7.3	13.3	
R03156			uncertainty is too high
R03157	-9.4	30.3	
R03158	35.8	6.4	
R03161	-5.5	4.1	
R03162			uncertainty is too high
R03163	5.5	5.8	
R03164	-47.8	13.2	
R03165			uncertainty is too high
R03166			uncertainty is too high
R03167			uncertainty is too high
R03168			uncertainty is too high
R03169	59.2	32.9	
R03171	-24.6	8.4	
R03172			uncertainty is too high
R03173			uncertainty is too high
R03174			uncertainty is too high
R03175			uncertainty is too high
R03176			uncertainty is too high
R03177	-35.7	19.1	
R03178	-13.8	19.8	
R03180	-11.1	19.9	
R03181	-0.0	11.1	
R03182	9.6	14.1	
R03183	24.0	8.3	
R03184			uncertainty is too high
R03185			uncertainty is too high
R03186			uncertainty is too high
R03187	-112.0	18.3	
R03188			uncertainty is too high
R03189			uncertainty is too high
R03190			uncertainty is too high
R03191	60.7	24.9	
R03192	61.6	24.9	
R03193	-26.6	25.8	
R03194			uncertainty is too high
R03195			uncertainty is too high
R03197			uncertainty is too high
R03198	-38.2	16.7	
R03199			uncertainty is too high
R03200			uncertainty is too high
R03201			uncertainty is too high
R03202			uncertainty is too high
R03203			uncertainty is too high
R03204	-377.5	10.3	
R03206			uncertainty is too high
R03207	-2.0	34.9	
R03208	-262.9	51.8	
R03209	-13.1	7.3	
R03210	16.4	32.8	
R03211	2.7	16.3	
R03212			uncertainty is too high
R03213			uncertainty is too high
R03214			uncertainty is too high
R03215			uncertainty is too high
R03216			uncertainty is too high
R03217	-69.1	11.2	
R03218			uncertainty is too high
R03219			uncertainty is too high
R03220			uncertainty is too high
R03222			uncertainty is too high
R03223	-5.1	5.8	
R03224			uncertainty is too high
R03225	-30.2	6.0	
R03226			uncertainty is too high
R03227			uncertainty is too high
R03228			uncertainty is too high
R03229			uncertainty is too high
R03230			uncertainty is too high
R03231			uncertainty is too high
R03232			uncertainty is too high
R03234	27.0	4.3	
R03236	-16.9	6.0	
R03237	-16.4	6.7	
R03238	-14.6	6.5	
R03239	-20.7	6.7	
R03240	-1.5	4.9	
R03241	-18.3	5.9	
R03243	-7.6	5.8	
R03244	0.8	4.2	
R03245	-2.7	4.1	
R03246	-311.8	14.3	
R03247	-11.0	25.0	
R03248	-6.2	7.6	
R03249	-9.4	12.2	
R03250	58.0	12.0	
R03251	-69.4	33.4	
R03253	-296.9	22.0	
R03254	64.2	5.0	
R03255			uncertainty is too high
R03256	-11.3	6.2	
R03257			uncertainty is too high
R03258			uncertainty is too high
R03259			uncertainty is too high
R03260	-60.1	12.0	
R03261	6.4	24.8	
R03262			uncertainty is too high
R03263			uncertainty is too high
R03264	24.1	27.7	
R03265	0.0	27.2	
R03266	-11.1	5.0	
R03267			uncertainty is too high
R03268			uncertainty is too high
R03269	-21.1	23.8	
R03270			uncertainty is too high
R03271			uncertainty is too high
R03272			uncertainty is too high
R03273			uncertainty is too high
R03274			uncertainty is too high
R03275	11.0	4.9	
R03276	-0.5	6.7	
R03277	-21.8	5.5	
R03278	6.4	30.3	
R03279	6.4	29.5	
R03281	-360.7	19.5	
R03283			uncertainty is too high
R03284			uncertainty is too high
R03286	-30.9	20.7	
R03288	-3.6	20.7	
R03289			uncertainty is too high
R03290	5.2	4.2	
R03291	52.1	13.8	
R03292	6.1	4.2	
R03293	53.1	13.9	
R03295	35.2	15.0	
R03296	0.0	5.8	
R03297	0.3	25.2	
R03298			uncertainty is too high
R03299	-442.4	14.3	
R03300	-36.9	16.8	
R03302	-36.0	16.8	
R03303	-252.4	12.3	
R03304			uncertainty is too high
R03306			uncertainty is too high
R03307	-7.7	12.1	
R03308			uncertainty is too high
R03310			uncertainty is too high
R03311			uncertainty is too high
R03313	10.2	6.0	
R03314	10.5	11.0	
R03315	-12.2	14.0	
R03316			uncertainty is too high
R03317	-17.0	22.2	
R03318	-2.6	5.5	
R03321	2.5	0.8	
R03322	-37.9	39.0	
R03323	-3.2	5.0	
R03325			uncertainty is too high
R03326			uncertainty is too high
R03327			uncertainty is too high
R03329			uncertainty is too high
R03330	-17.0	31.2	
R03331			uncertainty is too high
R03332			uncertainty is too high
R03333	-33.7	31.7	
R03334			uncertainty is too high
R03336	76.9	9.0	
R03337	76.9	9.0	
R03338	77.9	9.0	
R03339	77.9	9.0	
R03341	-68.9	10.9	
R03342	-56.3	9.3	
R03344			uncertainty is too high
R03345			uncertainty is too high
R03346	-25.3	5.5	
R03347	1.1	5.5	
R03348	23.0	8.3	
R03349	18.5	2.2	
R03350	-11.7	5.9	
R03351			uncertainty is too high
R03352	-24.1	30.3	
R03353			uncertainty is too high
R03354			uncertainty is too high
R03355			uncertainty is too high
R03356			uncertainty is too high
R03357	21.7	22.9	
R03358	-23.5	10.8	
R03359	-17.0	14.1	
R03360			uncertainty is too high
R03361			uncertainty is too high
R03362			uncertainty is too high
R03363			uncertainty is too high
R03364			uncertainty is too high
R03365	-311.8	14.9	
R03366			uncertainty is too high
R03367	-15.7	18.6	
R03369	-442.4	14.6	
R03370			uncertainty is too high
R03371	2.6	38.9	
R03372	2.6	38.9	
R03373	20.6	16.9	
R03374	-2.9	47.9	
R03375	-4.6	15.0	
R03376			uncertainty is too high
R03378			uncertainty is too high
R03380			uncertainty is too high
R03381	-9.1	6.6	
R03383	-29.3	6.7	
R03384	-2.4	31.4	
R03385	-381.9	10.1	
R03386	-382.9	10.2	
R03387	-13.6	6.6	
R03388	26.3	5.3	
R03390			uncertainty is too high
R03391	51.4	21.5	
R03392	52.4	21.5	
R03393	-17.0	31.2	
R03394	-12.1	32.2	
R03395	-10.0	54.0	
R03396			uncertainty is too high
R03397			uncertainty is too high
R03398			uncertainty is too high
R03399			uncertainty is too high
R03401	21.4	36.4	
R03402	-74.0	25.3	
R03403			uncertainty is too high
R03404			uncertainty is too high
R03405			uncertainty is too high
R03406			uncertainty is too high
R03407			uncertainty is too high
R03408			uncertainty is too high
R03409			uncertainty is too high
R03410			uncertainty is too high
R03411			uncertainty is too high
R03415			uncertainty is too high
R03416			uncertainty is too high
R03417			uncertainty is too high
R03418	-3.5	4.1	
R03421	-4.5	14.9	
R03422			uncertainty is too high
R03423			uncertainty is too high
R03424			uncertainty is too high
R03425			uncertainty is too high
R03427	-12.1	32.2	
R03428	-19.2	33.8	
R03429	-19.2	33.8	
R03430	-7.2	33.8	
R03431	32.6	5.8	
R03433	-19.2	33.8	
R03434	-7.2	33.8	
R03435			uncertainty is too high
R03437			uncertainty is too high
R03438			uncertainty is too high
R03439	-356.3	27.6	
R03440	-357.3	27.6	
R03441			uncertainty is too high
R03443	7.9	8.0	
R03444	3.1	8.1	
R03445	-116.6	13.1	
R03446			uncertainty is too high
R03447			uncertainty is too high
R03448	-30.1	26.6	
R03449			uncertainty is too high
R03450			uncertainty is too high
R03451			uncertainty is too high
R03452	-411.8	74.9	
R03454			uncertainty is too high
R03455			uncertainty is too high
R03456			uncertainty is too high
R03457	-41.8	16.1	
R03458	27.4	24.2	
R03459			uncertainty is too high
R03460	-12.9	22.5	
R03461			uncertainty is too high
R03462	-256.7	19.7	
R03463	62.1	15.7	
R03464			uncertainty is too high
R03465	11.3	12.7	
R03466	-297.8	16.1	
R03467			uncertainty is too high
R03468			uncertainty is too high
R03469			uncertainty is too high
R03470	-73.8	15.5	
R03471	-12.0	15.3	
R03472	-1040.6	15.5	
R03473			uncertainty is too high
R03474			uncertainty is too high
R03475			uncertainty is too high
R03476			uncertainty is too high
R03477	29.5	34.4	
R03478	-24.1	36.1	
R03479	-24.1	36.1	
R03482			uncertainty is too high
R03486			uncertainty is too high
R03488			uncertainty is too high
R03489			uncertainty is too high
R03490			uncertainty is too high
R03491			uncertainty is too high
R03492			uncertainty is too high
R03493	3.1	37.9	
R03494	-9.1	40.2	
R03495			uncertainty is too high
R03496	-24.1	36.0	
R03497	6.3	31.4	
R03498	7.3	31.4	
R03502	-21.5	36.4	
R03503			uncertainty is too high
R03504			uncertainty is too high
R03506			uncertainty is too high
R03507			uncertainty is too high
R03508	-85.5	11.7	
R03509	-5.8	13.6	
R03510			uncertainty is too high
R03511			uncertainty is too high
R03512			uncertainty is too high
R03513			uncertainty is too high
R03514			uncertainty is too high
R03515			uncertainty is too high
R03516			uncertainty is too high
R03517			uncertainty is too high
R03518			uncertainty is too high
R03519			uncertainty is too high
R03520	21.6	65.5	
R03521	44.6	36.0	
R03522			uncertainty is too high
R03523			uncertainty is too high
R03524			uncertainty is too high
R03526			uncertainty is too high
R03527			uncertainty is too high
R03528			uncertainty is too high
R03529			uncertainty is too high
R03530	2.6	13.2	
R03531	-39.6	12.3	
R03532			uncertainty is too high
R03533			uncertainty is too high
R03534	5.6	6.9	
R03535			uncertainty is too high
R03536			uncertainty is too high
R03537	-33.6	11.0	
R03538	-34.0	17.7	
R03539			uncertainty is too high
R03540	7.6	7.4	
R03541			uncertainty is too high
R03542			uncertainty is too high
R03543	-346.3	20.2	
R03544	-24.3	4.8	
R03545	-25.2	4.8	
R03546	-36.8	8.8	
R03547			uncertainty is too high
R03548			uncertainty is too high
R03549			uncertainty is too high
R03550	-309.4	15.1	
R03551	-55.5	22.4	
R03552			uncertainty is too high
R03553	506.5	13.3	
R03554			uncertainty is too high
R03555	-355.1	41.6	
R03556	-409.5	66.8	
R03557			uncertainty is too high
R03558	-60.6	12.2	
R03559	-399.5	15.6	
R03560	-443.3	11.0	
R03562	-443.3	11.0	
R03563			uncertainty is too high
R03564			uncertainty is too high
R03565			uncertainty is too high
R03566	-443.3	14.4	
R03567	-11.1	12.1	
R03568	-443.3	14.4	
R03569	464.3	16.0	
R03570			uncertainty is too high
R03571			uncertainty is too high
R03572	24.1	6.6	
R03573	-59.7	65.1	
R03574			uncertainty is too high
R03575			uncertainty is too high
R03576	-9.0	3.6	
R03577	23.1	5.3	
R03579	-2.5	18.6	
R03580			uncertainty is too high
R03581	24.0	18.2	
R03582	6.4	38.3	
R03583	7.3	38.3	
R03584			uncertainty is too high
R03585			uncertainty is too high
R03586	-10.6	5.2	
R03587			uncertainty is too high
R03588			uncertainty is too high
R03589			uncertainty is too high
R03590			uncertainty is too high
R03591			uncertainty is too high
R03592			uncertainty is too high
R03593			uncertainty is too high
R03594			uncertainty is too high
R03595			uncertainty is too high
R03596			uncertainty is too high
R03597			uncertainty is too high
R03599			uncertainty is too high
R03600			uncertainty is too high
R03601			uncertainty is too high
R03602			uncertainty is too high
R03603			uncertainty is too high
R03604	35.7	36.2	
R03605	-60.6	36.3	
R03607			uncertainty is too high
R03608	-443.3	14.4	
R03609			uncertainty is too high
R03610			uncertainty is too high
R03611			uncertainty is too high
R03612	-14.9	37.1	
R03613			uncertainty is too high
R03614			uncertainty is too high
R03615			uncertainty is too high
R03616	0.1	6.8	
R03617			uncertainty is too high
R03618			uncertainty is too high
R03620	8.7	9.1	
R03621	19.7	2.9	
R03622	2.6	56.3	
R03623			uncertainty is too high
R03624			uncertainty is too high
R03625			uncertainty is too high
R03626			uncertainty is too high
R03627	-10.5	5.8	
R03628	-326.3	21.1	
R03629			uncertainty is too high
R03630	-452.6	15.8	
R03631	-9.5	25.4	
R03632			uncertainty is too high
R03633			uncertainty is too high
R03634	-0.9	4.6	
R03635	-26.1	4.9	
R03636	6.7	54.1	
R03637	-442.1	58.7	
R03638	-443.1	58.7	
R03639	-443.4	58.7	
R03640	-460.4	55.1	
R03641			uncertainty is too high
R03642			uncertainty is too high
R03643			uncertainty is too high
R03645			uncertainty is too high
R03646			uncertainty is too high
R03647			uncertainty is too high
R03648			uncertainty is too high
R03650			uncertainty is too high
R03651			uncertainty is too high
R03652			uncertainty is too high
R03654			uncertainty is too high
R03655			uncertainty is too high
R03656			uncertainty is too high
R03657			uncertainty is too high
R03658			uncertainty is too high
R03659			uncertainty is too high
R03660			uncertainty is too high
R03661			uncertainty is too high
R03662			uncertainty is too high
R03663			uncertainty is too high
R03664			uncertainty is too high
R03665			uncertainty is too high
R03666	-57.1	25.6	
R03667	32.0	29.0	
R03668	7.8	13.1	
R03671	-46.6	6.7	
R03672	-60.0	62.5	
R03673	-65.7	47.6	
R03674	-76.8	47.3	
R03675			uncertainty is too high
R03677			uncertainty is too high
R03678	11.6	138.8	
R03679	-22.0	17.3	
R03680			uncertainty is too high
R03681			uncertainty is too high
R03682			uncertainty is too high
R03683			uncertainty is too high
R03684			uncertainty is too high
R03685			uncertainty is too high
R03686			uncertainty is too high
R03687			uncertainty is too high
R03688	-42.0	4.9	
R03689			uncertainty is too high
R03691			uncertainty is too high
R03692	-64.9	15.3	
R03693	2.9	4.7	
R03694	5.2	5.9	
R03695	23.2	6.8	
R03696	5.5	3.7	
R03697			uncertainty is too high
R03698			uncertainty is too high
R03699	-1.6	14.3	
R03700			uncertainty is too high
R03701			uncertainty is too high
R03702			uncertainty is too high
R03703			uncertainty is too high
R03704			uncertainty is too high
R03706			uncertainty is too high
R03707	20.6	5.1	
R03708	-46.9	7.1	
R03709	63.2	11.1	
R03710	-60.6	13.7	
R03711			uncertainty is too high
R03712			uncertainty is too high
R03713			uncertainty is too high
R03714			uncertainty is too high
R03716			uncertainty is too high
R03718			uncertainty is too high
R03719			uncertainty is too high
R03720			uncertainty is too high
R03721			uncertainty is too high
R03722			uncertainty is too high
R03723			uncertainty is too high
R03724			uncertainty is too high
R03725			uncertainty is too high
R03726			uncertainty is too high
R03727	-2.9	37.5	
R03728	-501.9	24.8	
R03731			uncertainty is too high
R03732	36.7	8.9	
R03733	18.4	3.4	
R03734			uncertainty is too high
R03735	35.8	14.7	
R03736			uncertainty is too high
R03737			uncertainty is too high
R03738	52.7	36.5	
R03739			uncertainty is too high
R03740			uncertainty is too high
R03742			uncertainty is too high
R03743			uncertainty is too high
R03744			uncertainty is too high
R03745			uncertainty is too high
R03746			uncertainty is too high
R03747	-17.2	14.4	
R03748			uncertainty is too high
R03749			uncertainty is too high
R03751	-58.5	10.5	
R03753			uncertainty is too high
R03754			uncertainty is too high
R03755			uncertainty is too high
R03756			uncertainty is too high
