!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R00272	-18.9	6.7	
R00273	-165.0	15.4	
R00274	-310.0	6.6	
R00275			uncertainty is too high
R00276	177.8	11.7	
R00277	-96.7	17.0	
R00278	-111.0	16.8	
R00279	-96.1	9.3	
R00280			uncertainty is too high
R00281			uncertainty is too high
R00282			uncertainty is too high
R00283			uncertainty is too high
R00284			uncertainty is too high
R00286	-12.8	4.3	
R00287	-29.6	7.5	
R00289	0.0	1.1	
R00291	2.9	1.6	
R00292	247.2	3.0	
R00293	-56.1	4.9	
R00294			uncertainty is too high
R00295			uncertainty is too high
R00296			uncertainty is too high
R00297			uncertainty is too high
R00298			uncertainty is too high
R00299	-17.3	0.9	
R00300	-3.4	2.2	
R00301	-4.6	4.1	
R00302	-126.4	8.9	
R00303	-9.1	0.9	
R00304	-16.6	1.6	
R00305			uncertainty is too high
R00306	-12.9	3.7	
R00307	-0.1	0.6	
R00308	-272.1	1.6	
R00310			uncertainty is too high
R00311			uncertainty is too high
R00312			uncertainty is too high
R00313			uncertainty is too high
R00314			uncertainty is too high
R00315	13.4	1.1	
R00316			uncertainty is too high
R00317	-39.8	1.3	
R00318	-82.3	13.8	
R00319	-497.7	8.8	
R00320	24.0	1.3	
R00321	-22.8	4.7	
R00322			uncertainty is too high
R00324	-57.2	4.2	
R00325	2.2	2.3	
R00326			uncertainty is too high
R00327	-28.4	4.6	
R00328	-23.0	2.4	
R00329			uncertainty is too high
R00330	-2.5	2.6	
R00331			uncertainty is too high
R00332	-3.4	2.4	
R00333			uncertainty is too high
R00334			uncertainty is too high
R00335	-23.9	2.7	
R00336			uncertainty is too high
R00337	-26.9	6.6	
R00338	-51.1	6.7	
R00339	-35.3	3.9	
R00340	-35.3	3.9	
R00341	10.3	6.2	
R00342	30.3	0.6	
R00343	31.3	0.9	
R00344	-4.2	1.4	
R00345	36.7	6.2	
R00346	21.0	6.2	
R00347	-26.6	4.3	
R00348	-6.9	5.0	
R00350	18.8	5.4	
R00351	34.6	0.9	
R00352	8.2	0.9	
R00353	-0.5	2.9	
R00354	15.4	29.9	
R00355	2.9	1.1	
R00357	-92.6	8.3	
R00359	-97.5	9.1	
R00360	-103.1	8.3	
R00361			uncertainty is too high
R00362	4.6	0.9	
R00363	5.7	5.8	
R00364			uncertainty is too high
R00365	46.0	3.2	
R00366	-87.4	8.8	
R00367			uncertainty is too high
R00368	31.9	7.8	
R00369	-8.3	3.3	
R00371	38.5	4.1	
R00372	8.0	3.2	
R00373	5.2	3.2	
R00374			uncertainty is too high
R00375	187.1	7.3	
R00376			uncertainty is too high
R00377	511.2	9.9	
R00378	691.0	10.3	
R00380			uncertainty is too high
R00383			uncertainty is too high
R00384			uncertainty is too high
R00385			uncertainty is too high
R00387			uncertainty is too high
R00388			uncertainty is too high
R00389			uncertainty is too high
R00390			uncertainty is too high
R00391			uncertainty is too high
R00392			uncertainty is too high
R00393			uncertainty is too high
R00394			uncertainty is too high
R00395			uncertainty is too high
R00396	37.7	1.1	
R00397	-14.2	6.3	
R00398	35.0	5.8	
R00399	34.7	7.2	
R00400	-3.1	1.4	
R00401	-0.0	2.0	
R00402	63.2	4.1	
R00405	-1.9	2.6	
R00406	-4.8	7.4	
R00407	-24.5	2.7	
R00408	46.2	7.1	
R00409	9.2	5.9	
R00410	11.2	1.3	
R00411	-2.4	7.0	
R00412			uncertainty is too high
R00414	-23.2	6.6	
R00416	-3.6	10.6	
R00417			uncertainty is too high
R00418	0.0	5.3	
R00420	0.0	5.3	
R00421	-17.0	5.9	
R00422			uncertainty is too high
R00423			uncertainty is too high
R00424	-89.3	14.3	
R00425	-64.3	11.2	
R00426	-31.1	3.7	
R00428	8.3	5.8	
R00429	-5.5	15.9	
R00430	30.1	2.8	
R00431	12.8	6.7	
R00432	0.6	0.9	
R00434	6.9	5.9	
R00435	356.8	2.8	
R00436			uncertainty is too high
R00437	-367.4	2.7	
R00438	-956.1	9.1	
R00439			uncertainty is too high
R00440	-696.5	8.6	
R00441			uncertainty is too high
R00442	686.4	9.3	
R00443	947.8	9.1	
R00444			uncertainty is too high
R00445	18.9	18.6	
R00446	36.1	4.4	
R00447	-104.7	9.2	
R00448			uncertainty is too high
R00449	-469.6	9.6	
R00451	-17.3	7.3	
R00452	39.4	12.8	
R00453	-1.7	4.4	
R00454	-24.6	4.2	
R00457	-1.9	4.4	
R00458	-5.3	10.3	
R00459	-82.3	18.5	
R00460	0.0	5.8	
R00461	-4.6	4.1	
R00462	-25.3	6.9	
R00463	17.6	12.1	
R00465	45.6	1.8	
R00466	-156.9	10.6	
R00468	-7.4	2.6	
R00469	-24.8	9.6	
R00470	17.8	3.0	
R00471	15.4	4.4	
R00472	32.7	4.1	
R00473	13.0	5.8	
R00474	28.0	7.7	
R00475	-88.8	8.4	
R00476			uncertainty is too high
R00477	21.3	10.3	
R00478	1.5	5.4	
R00479	8.6	2.7	
R00480	18.4	5.8	
R00481	-69.3	9.4	
R00482	-10.0	7.0	
R00483	-18.1	7.1	
R00484	-31.5	9.8	
R00485	-16.4	7.0	
R00486			uncertainty is too high
R00487	-18.0	4.7	
